time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,wind_speed_10m_max,city_name,retrieved_on
2026-07-05,65.3,52.5,64.8,48.3,2026-07-05 05:53:00,2026-07-05 20:34:00,0.0,13.3,San Francisco,2026-07-05
2026-07-06,61.7,54.1,60.5,49.5,2026-07-06 05:54:00,2026-07-06 20:34:00,0.0,16.0,San Francisco,2026-07-05
2026-07-07,65.2,52.7,63.8,48.3,2026-07-07 05:54:00,2026-07-07 20:34:00,0.0,16.9,San Francisco,2026-07-05
2026-07-08,68.5,56.6,68.7,52.6,2026-07-08 05:55:00,2026-07-08 20:34:00,0.0,12.4,San Francisco,2026-07-05
2026-07-09,67.6,57.7,68.6,54.2,2026-07-09 05:56:00,2026-07-09 20:33:00,0.0,13.4,San Francisco,2026-07-05
2026-07-10,70.5,55.7,71.2,54.1,2026-07-10 05:56:00,2026-07-10 20:33:00,0.0,9.9,San Francisco,2026-07-05
2026-07-11,77.8,57.5,78.7,56.4,2026-07-11 05:57:00,2026-07-11 20:32:00,0.0,12.0,San Francisco,2026-07-05
2026-07-05,107.8,83.8,107.5,79.0,2026-07-05 05:23:00,2026-07-05 19:40:00,0.0,5.6,Mesa,2026-07-05
2026-07-06,110.3,80.9,111.6,76.3,2026-07-06 05:23:00,2026-07-06 19:40:00,0.0,10.3,Mesa,2026-07-05
2026-07-07,110.4,81.6,108.5,79.5,2026-07-07 05:24:00,2026-07-07 19:40:00,0.0,26.9,Mesa,2026-07-05
2026-07-08,111.2,90.1,110.1,87.6,2026-07-08 05:24:00,2026-07-08 19:40:00,0.016,19.1,Mesa,2026-07-05
2026-07-09,110.8,88.5,111.1,88.7,2026-07-09 05:25:00,2026-07-09 19:39:00,0.0,17.0,Mesa,2026-07-05
2026-07-10,107.7,87.0,107.1,85.9,2026-07-10 05:25:00,2026-07-10 19:39:00,0.0,20.4,Mesa,2026-07-05
2026-07-11,106.6,84.3,107.4,80.6,2026-07-11 05:26:00,2026-07-11 19:39:00,0.0,26.4,Mesa,2026-07-05
2026-07-05,72.9,51.3,74.0,48.8,2026-07-05 05:18:00,2026-07-05 21:09:00,0.0,9.6,Seattle,2026-07-05
2026-07-06,80.2,53.6,79.5,50.4,2026-07-06 05:19:00,2026-07-06 21:08:00,0.0,8.3,Seattle,2026-07-05
2026-07-07,82.7,53.5,82.0,51.7,2026-07-07 05:20:00,2026-07-07 21:08:00,0.0,10.9,Seattle,2026-07-05
2026-07-08,72.1,53.7,71.1,49.8,2026-07-08 05:21:00,2026-07-08 21:07:00,0.008,10.8,Seattle,2026-07-05
2026-07-09,78.2,47.8,79.7,44.5,2026-07-09 05:21:00,2026-07-09 21:07:00,0.0,9.2,Seattle,2026-07-05
2026-07-10,78.0,52.3,78.4,50.5,2026-07-10 05:22:00,2026-07-10 21:06:00,0.0,8.8,Seattle,2026-07-05
2026-07-11,83.2,50.1,83.1,48.2,2026-07-11 05:23:00,2026-07-11 21:05:00,0.0,7.5,Seattle,2026-07-05
